"Multisizer","2018-10-04  14:36"
"File name:","50K_M6_2018-10-04_149.#m4"
"Population:","50K"
"Generation:","M6"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-04  14:35"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","18264"
"Counting threshold:","0.600"
"Counts above threshold:","18264"
"Coincidence corrected:","18844"

"From","0.113"
"To","3054"
"Number ",18846
"Mean:","0.588"
"Median:","0.526"
"D(0,0):",1.010
"Mean/Median ratio:","1.116"
"Mode:","0.503"
"95% Conf. Limits:","0.584"
"95% Conf. Limits:","0.592"
"S.D.:","0.276"
"Variance:","0.0762"
"C.V.:","46.98"
"Skewness:","2.682"
"Kurtosis:","16.70"
"d10:","0.331"
"d50:","0.526"
"d90:","0.910"
"Specific Surf. Area:","56528"

"% <","Size "
10,0.331
25,0.408
50,0.526
75,0.694
90,0.910

"% >","Size "
10,0.910
25,0.694
50,0.526
75,0.408
90,0.331

"Size ","% <"
1,93.2
10,99.99
100,100
1000,100

"Size ","% >"
1,6.80
10,0.0053
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,2,0.113,0.114,0.116
2,3,0.116,0.117,0.119
3,1,0.119,0.120,0.122
4,3,0.122,0.124,0.125
5,5,0.125,0.127,0.128
6,2,0.128,0.130,0.132
7,0,0.132,0.133,0.135
8,1,0.135,0.137,0.139
9,1,0.139,0.140,0.142
10,1,0.142,0.144,0.146
11,6,0.146,0.148,0.150
12,4,0.150,0.152,0.153
13,6,0.153,0.155,0.157
14,2,0.157,0.159,0.162
15,1,0.162,0.164,0.166
16,4,0.166,0.168,0.170
17,2,0.170,0.172,0.174
18,6,0.174,0.177,0.179
19,2,0.179,0.181,0.183
20,9,0.183,0.186,0.188
21,6,0.188,0.191,0.193
22,12,0.193,0.196,0.198
23,18,0.198,0.201,0.203
24,17,0.203,0.206,0.208
25,20,0.208,0.211,0.214
26,20,0.214,0.217,0.219
27,32,0.219,0.222,0.225
28,28,0.225,0.228,0.231
29,32,0.231,0.234,0.237
30,50,0.237,0.240,0.243
31,61,0.243,0.246,0.249
32,67,0.249,0.252,0.256
33,63,0.256,0.259,0.262
34,76,0.262,0.266,0.269
35,89,0.269,0.272,0.276
36,116,0.276,0.280,0.283
37,120,0.283,0.287,0.290
38,136,0.290,0.294,0.298
39,158,0.298,0.302,0.306
40,168,0.306,0.310,0.314
41,219,0.314,0.318,0.322
42,245,0.322,0.326,0.330
43,269,0.330,0.334,0.338
44,302,0.338,0.343,0.347
45,302,0.347,0.352,0.356
46,340,0.356,0.361,0.365
47,342,0.365,0.370,0.375
48,375,0.375,0.380,0.384
49,386,0.384,0.389,0.394
50,428,0.394,0.399,0.405
51,400,0.405,0.410,0.415
52,485,0.415,0.420,0.426
53,449,0.426,0.431,0.437
54,459,0.437,0.442,0.448
55,453,0.448,0.454,0.460
56,482,0.460,0.466,0.472
57,495,0.472,0.478,0.484
58,472,0.484,0.490,0.496
59,542,0.496,0.503,0.509
60,493,0.509,0.516,0.522
61,469,0.522,0.529,0.536
62,470,0.536,0.543,0.550
63,457,0.550,0.557,0.564
64,447,0.564,0.571,0.578
65,438,0.578,0.586,0.593
66,405,0.593,0.601,0.609
67,503,0.609,0.616,0.624
68,443,0.624,0.632,0.640
69,437,0.640,0.649,0.657
70,368,0.657,0.665,0.674
71,379,0.674,0.683,0.691
72,343,0.691,0.700,0.709
73,351,0.709,0.718,0.728
74,291,0.728,0.737,0.746
75,288,0.746,0.756,0.766
76,279,0.766,0.775,0.785
77,289,0.785,0.796,0.806
78,251,0.806,0.816,0.827
79,213,0.827,0.837,0.848
80,205,0.848,0.859,0.870
81,206,0.870,0.881,0.892
82,199,0.892,0.904,0.915
83,171,0.915,0.927,0.939
84,156,0.939,0.951,0.963
85,152,0.963,0.976,0.988
86,132,0.988,1.001,1.014
87,116,1.014,1.027,1.040
88,121,1.040,1.053,1.067
89,97,1.067,1.080,1.094
90,85,1.094,1.108,1.123
91,83,1.123,1.137,1.152
92,86,1.152,1.166,1.181
93,69,1.181,1.197,1.212
94,55,1.212,1.227,1.243
95,62,1.243,1.259,1.275
96,48,1.275,1.292,1.308
97,51,1.308,1.325,1.342
98,34,1.342,1.359,1.377
99,30,1.377,1.394,1.412
100,26,1.412,1.430,1.449
101,35,1.449,1.467,1.486
102,22,1.486,1.505,1.525
103,24,1.525,1.544,1.564
104,18,1.564,1.584,1.605
105,21,1.605,1.625,1.646
106,11,1.646,1.667,1.689
107,9,1.689,1.710,1.732
108,14,1.732,1.754,1.777
109,10,1.777,1.800,1.823
110,7,1.823,1.846,1.870
111,8,1.870,1.894,1.918
112,4,1.918,1.943,1.968
113,3,1.968,1.993,2.019
114,3,2.019,2.045,2.071
115,3,2.071,2.097,2.124
116,5,2.124,2.152,2.179
117,6,2.179,2.207,2.236
118,4,2.236,2.264,2.293
119,5,2.293,2.323,2.353
120,4,2.353,2.383,2.413
121,2,2.413,2.444,2.476
122,4,2.476,2.507,2.540
123,4,2.540,2.572,2.605
124,1,2.605,2.639,2.673
125,1,2.673,2.707,2.742
126,3,2.742,2.777,2.812
127,1,2.812,2.849,2.885
128,2,2.885,2.922,2.960
129,1,2.960,2.998,3.036
130,1,3.036,3.075,3.115
131,0,3.115,3.155,3.195
132,0,3.195,3.236,3.278
133,1,3.278,3.320,3.362
134,1,3.362,3.406,3.449
135,0,3.449,3.494,3.538
136,1,3.538,3.584,3.630
137,0,3.630,3.676,3.724
138,0,3.724,3.771,3.820
139,1,3.820,3.869,3.919
140,1,3.919,3.969,4.020
141,0,4.020,4.071,4.124
142,0,4.124,4.177,4.230
143,2,4.230,4.285,4.340
144,0,4.340,4.395,4.452
145,0,4.452,4.509,4.567
146,0,4.567,4.625,4.685
147,0,4.685,4.745,4.806
148,0,4.806,4.867,4.930
149,0,4.930,4.993,5.057
150,0,5.057,5.122,5.188
151,1,5.188,5.255,5.322
152,0,5.322,5.390,5.460
153,0,5.460,5.530,5.601
154,0,5.601,5.673,5.745
155,0,5.745,5.819,5.894
156,0,5.894,5.969,6.046
157,1,6.046,6.124,6.202
158,0,6.202,6.282,6.363
159,1,6.363,6.444,6.527
160,0,6.527,6.611,6.696
161,0,6.696,6.782,6.869
162,0,6.869,6.957,7.046
163,0,7.046,7.137,7.228
164,0,7.228,7.321,7.415
165,0,7.415,7.510,7.607
166,0,7.607,7.704,7.803
167,0,7.803,7.903,8.005
168,0,8.005,8.108,8.212
169,0,8.212,8.317,8.424
170,0,8.424,8.532,8.641
171,0,8.641,8.752,8.865
172,0,8.865,8.979,9.094
173,0,9.094,9.211,9.329
174,0,9.329,9.449,9.570
175,0,9.570,9.693,9.817
176,0,9.817,9.943,10.07
177,0,10.07,10.20,10.33
178,0,10.33,10.46,10.60
179,0,10.60,10.73,10.87
180,0,10.87,11.01,11.15
181,0,11.15,11.30,11.44
182,0,11.44,11.59,11.74
183,0,11.74,11.89,12.04
184,0,12.04,12.19,12.35
185,0,12.35,12.51,12.67
186,0,12.67,12.83,13.00
187,0,13.00,13.16,13.33
188,0,13.33,13.50,13.68
189,0,13.68,13.85,14.03
190,0,14.03,14.21,14.39
191,0,14.39,14.58,14.77
192,0,14.77,14.96,15.15
193,0,15.15,15.34,15.54
194,0,15.54,15.74,15.94
195,0,15.94,16.14,16.35
196,0,16.35,16.56,16.77
197,0,16.77,16.99,17.21
198,0,17.21,17.43,17.65
199,0,17.65,17.88,18.11
200,0,18.11,18.34,18.58
201,1,18.58,18.82,19.06
202,0,19.06,19.30,19.55
203,0,19.55,19.80,20.05
204,0,20.05,20.31,20.57
205,0,20.57,20.84,21.10
206,0,21.10,21.38,21.65
207,0,21.65,21.93,22.21
208,0,22.21,22.49,22.78
209,0,22.78,23.08,23.37
210,0,23.37,23.67,23.98
211,0,23.98,24.28,24.60
212,0,24.60,24.91,25.23
213,0,25.23,25.55,25.88
214,0,25.88,26.21,26.55
215,0,26.55,26.89,27.24
216,0,27.24,27.59,27.94
217,0,27.94,28.30,28.66
218,0,28.66,29.03,29.40
219,0,29.40,29.78,30.16
220,0,30.16,30.55,30.94
221,0,30.94,31.34,31.74
222,0,31.74,32.15,32.56
