"Multisizer","2018-11-09  15:26"
"File name:","2K_P1_2018-11-09_110.#m4"
"Generation:","2K"
"Population:","P1"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-09  15:26"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","21477"
"Counting threshold:","0.600"
"Counts above threshold:","21477"
"Coincidence corrected:","22189"

"From","0.113"
"To","3054"
"Number ",22186
"Mean:","0.418"
"Median:","0.367"
"D(0,0):",0.899
"Mean/Median ratio:","1.137"
"Mode:","0.389"
"95% Conf. Limits:","0.415"
"95% Conf. Limits:","0.420"
"S.D.:","0.213"
"Variance:","0.0455"
"C.V.:","51.10"
"Skewness:","3.256"
"Kurtosis:","24.67"
"d10:","0.232"
"d50:","0.367"
"d90:","0.664"
"Specific Surf. Area:","63181"

"% <","Size "
10,0.232
25,0.285
50,0.367
75,0.483
90,0.664

"% >","Size "
10,0.664
25,0.483
50,0.367
75,0.285
90,0.232

"Size ","% <"
1,98.1
10,99.99
100,100
1000,100

"Size ","% >"
1,1.87
10,0.0090
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,3,0.113,0.114,0.116
2,5,0.116,0.117,0.119
3,10,0.119,0.120,0.122
4,8,0.122,0.124,0.125
5,8,0.125,0.127,0.128
6,14,0.128,0.130,0.132
7,12,0.132,0.133,0.135
8,9,0.135,0.137,0.139
9,17,0.139,0.140,0.142
10,26,0.142,0.144,0.146
11,20,0.146,0.148,0.150
12,26,0.150,0.152,0.153
13,15,0.153,0.155,0.157
14,37,0.157,0.159,0.162
15,38,0.162,0.164,0.166
16,55,0.166,0.168,0.170
17,58,0.170,0.172,0.174
18,60,0.174,0.177,0.179
19,73,0.179,0.181,0.183
20,93,0.183,0.186,0.188
21,119,0.188,0.191,0.193
22,147,0.193,0.196,0.198
23,148,0.198,0.201,0.203
24,177,0.203,0.206,0.208
25,210,0.208,0.211,0.214
26,229,0.214,0.217,0.219
27,224,0.219,0.222,0.225
28,272,0.225,0.228,0.231
29,360,0.231,0.234,0.237
30,295,0.237,0.240,0.243
31,390,0.243,0.246,0.249
32,417,0.249,0.252,0.256
33,398,0.256,0.259,0.262
34,458,0.262,0.266,0.269
35,488,0.269,0.272,0.276
36,482,0.276,0.280,0.283
37,525,0.283,0.287,0.290
38,518,0.290,0.294,0.298
39,542,0.298,0.302,0.306
40,545,0.306,0.310,0.314
41,562,0.314,0.318,0.322
42,587,0.322,0.326,0.330
43,604,0.330,0.334,0.338
44,552,0.338,0.343,0.347
45,576,0.347,0.352,0.356
46,547,0.356,0.361,0.365
47,558,0.365,0.370,0.375
48,609,0.375,0.380,0.384
49,584,0.384,0.389,0.394
50,587,0.394,0.399,0.405
51,607,0.405,0.410,0.415
52,549,0.415,0.420,0.426
53,516,0.426,0.431,0.437
54,483,0.437,0.442,0.448
55,424,0.448,0.454,0.460
56,409,0.460,0.466,0.472
57,407,0.472,0.478,0.484
58,356,0.484,0.490,0.496
59,319,0.496,0.503,0.509
60,338,0.509,0.516,0.522
61,303,0.522,0.529,0.536
62,284,0.536,0.543,0.550
63,233,0.550,0.557,0.564
64,258,0.564,0.571,0.578
65,252,0.578,0.586,0.593
66,209,0.593,0.601,0.609
67,238,0.609,0.616,0.624
68,217,0.624,0.632,0.640
69,195,0.640,0.649,0.657
70,194,0.657,0.665,0.674
71,175,0.674,0.683,0.691
72,180,0.691,0.700,0.709
73,134,0.709,0.718,0.728
74,149,0.728,0.737,0.746
75,155,0.746,0.756,0.766
76,154,0.766,0.775,0.785
77,120,0.785,0.796,0.806
78,101,0.806,0.816,0.827
79,89,0.827,0.837,0.848
80,90,0.848,0.859,0.870
81,78,0.870,0.881,0.892
82,68,0.892,0.904,0.915
83,66,0.915,0.927,0.939
84,48,0.939,0.951,0.963
85,53,0.963,0.976,0.988
86,47,0.988,1.001,1.014
87,23,1.014,1.027,1.040
88,34,1.040,1.053,1.067
89,35,1.067,1.080,1.094
90,22,1.094,1.108,1.123
91,20,1.123,1.137,1.152
92,30,1.152,1.166,1.181
93,23,1.181,1.197,1.212
94,15,1.212,1.227,1.243
95,17,1.243,1.259,1.275
96,18,1.275,1.292,1.308
97,13,1.308,1.325,1.342
98,8,1.342,1.359,1.377
99,7,1.377,1.394,1.412
100,16,1.412,1.430,1.449
101,13,1.449,1.467,1.486
102,5,1.486,1.505,1.525
103,8,1.525,1.544,1.564
104,5,1.564,1.584,1.605
105,15,1.605,1.625,1.646
106,6,1.646,1.667,1.689
107,7,1.689,1.710,1.732
108,5,1.732,1.754,1.777
109,3,1.777,1.800,1.823
110,5,1.823,1.846,1.870
111,8,1.870,1.894,1.918
112,4,1.918,1.943,1.968
113,4,1.968,1.993,2.019
114,2,2.019,2.045,2.071
115,3,2.071,2.097,2.124
116,1,2.124,2.152,2.179
117,1,2.179,2.207,2.236
118,1,2.236,2.264,2.293
119,1,2.293,2.323,2.353
120,0,2.353,2.383,2.413
121,0,2.413,2.444,2.476
122,1,2.476,2.507,2.540
123,0,2.540,2.572,2.605
124,0,2.605,2.639,2.673
125,0,2.673,2.707,2.742
126,1,2.742,2.777,2.812
127,0,2.812,2.849,2.885
128,2,2.885,2.922,2.960
129,0,2.960,2.998,3.036
130,0,3.036,3.075,3.115
131,0,3.115,3.155,3.195
132,0,3.195,3.236,3.278
133,0,3.278,3.320,3.362
134,0,3.362,3.406,3.449
135,2,3.449,3.494,3.538
136,2,3.538,3.584,3.630
137,0,3.630,3.676,3.724
138,0,3.724,3.771,3.820
139,1,3.820,3.869,3.919
140,1,3.919,3.969,4.020
141,0,4.020,4.071,4.124
142,0,4.124,4.177,4.230
143,0,4.230,4.285,4.340
144,0,4.340,4.395,4.452
145,0,4.452,4.509,4.567
146,0,4.567,4.625,4.685
147,0,4.685,4.745,4.806
148,0,4.806,4.867,4.930
149,0,4.930,4.993,5.057
150,0,5.057,5.122,5.188
151,0,5.188,5.255,5.322
152,0,5.322,5.390,5.460
153,0,5.460,5.530,5.601
154,0,5.601,5.673,5.745
155,0,5.745,5.819,5.894
156,0,5.894,5.969,6.046
157,0,6.046,6.124,6.202
158,0,6.202,6.282,6.363
159,0,6.363,6.444,6.527
160,0,6.527,6.611,6.696
161,0,6.696,6.782,6.869
162,0,6.869,6.957,7.046
163,0,7.046,7.137,7.228
164,0,7.228,7.321,7.415
165,0,7.415,7.510,7.607
166,0,7.607,7.704,7.803
167,0,7.803,7.903,8.005
168,0,8.005,8.108,8.212
169,0,8.212,8.317,8.424
170,0,8.424,8.532,8.641
171,0,8.641,8.752,8.865
172,0,8.865,8.979,9.094
173,0,9.094,9.211,9.329
174,0,9.329,9.449,9.570
175,0,9.570,9.693,9.817
176,0,9.817,9.943,10.07
177,0,10.07,10.20,10.33
178,0,10.33,10.46,10.60
179,0,10.60,10.73,10.87
180,0,10.87,11.01,11.15
181,1,11.15,11.30,11.44
182,0,11.44,11.59,11.74
183,0,11.74,11.89,12.04
184,0,12.04,12.19,12.35
185,0,12.35,12.51,12.67
186,0,12.67,12.83,13.00
187,0,13.00,13.16,13.33
188,0,13.33,13.50,13.68
189,0,13.68,13.85,14.03
190,0,14.03,14.21,14.39
191,0,14.39,14.58,14.77
192,0,14.77,14.96,15.15
193,1,15.15,15.34,15.54
194,0,15.54,15.74,15.94
195,0,15.94,16.14,16.35
196,0,16.35,16.56,16.77
197,0,16.77,16.99,17.21
198,0,17.21,17.43,17.65
199,0,17.65,17.88,18.11
200,0,18.11,18.34,18.58
201,0,18.58,18.82,19.06
202,0,19.06,19.30,19.55
203,0,19.55,19.80,20.05
204,0,20.05,20.31,20.57
205,0,20.57,20.84,21.10
206,0,21.10,21.38,21.65
207,0,21.65,21.93,22.21
208,0,22.21,22.49,22.78
209,0,22.78,23.08,23.37
210,0,23.37,23.67,23.98
211,0,23.98,24.28,24.60
212,0,24.60,24.91,25.23
213,0,25.23,25.55,25.88
214,0,25.88,26.21,26.55
215,0,26.55,26.89,27.24
216,0,27.24,27.59,27.94
217,0,27.94,28.30,28.66
218,0,28.66,29.03,29.40
219,0,29.40,29.78,30.16
220,0,30.16,30.55,30.94
221,0,30.94,31.34,31.74
222,0,31.74,32.15,32.56
223,0,32.56,32.98,33.40
224,0,33.40,33.83,34.27
225,0,34.27,34.71,35.15
226,0,35.15,35.60,36.06
227,0,36.06,36.52,36.99
228,0,36.99,37.47,37.95
229,0,37.95,38.44,38.93
230,0,38.93,39.43,39.94
231,0,39.94,40.45,40.97
232,0,40.97,41.49,42.03
233,0,42.03,42.57,43.11
234,0,43.11,43.67,44.23
235,0,44.23,44.79,45.37
236,0,45.37,45.95,46.54
237,0,46.54,47.14,47.74
238,0,47.74,48.36,48.98
239,0,48.98,49.61,50.24
240,0,50.24,50.89,51.54
241,0,51.54,52.20,52.87
242,0,52.87,53.55,54.24
243,0,54.24,54.94,55.64
244,0,55.64,56.35,57.08
245,0,57.08,57.81,58.55
246,0,58.55,59.30,60.07
