"Multisizer","2019-11-21  20:00"
"File name:","50K_M2_2019-11-21_25.#m4"
"Generation:","50K"
"Population:","M2"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2019-11-21  20:00"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","16329"
"Counting threshold:","0.600"
"Counts above threshold:","16329"
"Coincidence corrected:","16550"

"From","0.113"
"To","22.45"
"Number ",16542
"Mean:","1.381"
"Median:","1.400"
"D(0,0):",1.359
"Mean/Median ratio:","0.987"
"Mode:","1.497"
"95% Conf. Limits:","1.375"
"95% Conf. Limits:","1.387"
"S.D.:","0.381"
"Variance:","0.145"
"C.V.:","27.61"
"Skewness:","0.412"
"Kurtosis:","6.915"
"d10:","0.945"
"d50:","1.400"
"d90:","1.787"
"Specific Surf. Area:","43028"

"% <","Size "
10,0.945
25,1.179
50,1.400
75,1.602
90,1.787

"% >","Size "
10,1.787
25,1.602
50,1.400
75,1.179
90,0.945

"Size ","% <"
1,11.9
10,100
100,100
1000,100

"Size ","% >"
1,88.1
10,0
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,37,0.113,0.117,0.121
2,39,0.121,0.126,0.130
3,21,0.130,0.135,0.140
4,5,0.140,0.144,0.149
5,5,0.149,0.154,0.159
6,6,0.159,0.165,0.170
7,6,0.170,0.175,0.181
8,9,0.181,0.186,0.192
9,4,0.192,0.198,0.204
10,7,0.204,0.210,0.217
11,12,0.217,0.223,0.229
12,4,0.229,0.236,0.243
13,4,0.243,0.250,0.257
14,4,0.257,0.264,0.271
15,7,0.271,0.279,0.286
16,9,0.286,0.294,0.302
17,2,0.302,0.310,0.318
18,5,0.318,0.326,0.334
19,4,0.334,0.343,0.351
20,6,0.351,0.360,0.369
21,9,0.369,0.378,0.387
22,13,0.387,0.397,0.406
23,22,0.406,0.416,0.426
24,19,0.426,0.436,0.446
25,15,0.446,0.456,0.467
26,33,0.467,0.478,0.488
27,43,0.488,0.499,0.510
28,63,0.510,0.522,0.533
29,39,0.533,0.545,0.556
30,45,0.556,0.568,0.581
31,71,0.581,0.593,0.605
32,74,0.605,0.618,0.631
33,46,0.631,0.644,0.657
34,68,0.657,0.670,0.684
35,73,0.684,0.697,0.711
36,68,0.711,0.725,0.740
37,75,0.740,0.754,0.769
38,94,0.769,0.784,0.798
39,86,0.798,0.814,0.829
40,80,0.829,0.845,0.860
41,100,0.860,0.876,0.892
42,163,0.892,0.909,0.925
43,204,0.925,0.942,0.959
44,220,0.959,0.976,0.993
45,277,0.993,1.011,1.029
46,353,1.029,1.047,1.065
47,414,1.065,1.083,1.102
48,513,1.102,1.121,1.140
49,581,1.140,1.159,1.178
50,620,1.178,1.198,1.218
51,702,1.218,1.238,1.258
52,759,1.258,1.279,1.300
53,847,1.300,1.321,1.342
54,913,1.342,1.363,1.385
55,1029,1.385,1.407,1.429
56,851,1.429,1.452,1.474
57,1051,1.474,1.497,1.520
58,1023,1.520,1.543,1.567
59,899,1.567,1.591,1.614
60,841,1.614,1.639,1.663
61,659,1.663,1.688,1.713
62,570,1.713,1.738,1.764
63,462,1.764,1.789,1.815
64,345,1.815,1.842,1.868
65,240,1.868,1.895,1.922
66,168,1.922,1.949,1.976
67,114,1.976,2.004,2.032
68,87,2.032,2.060,2.089
69,70,2.089,2.118,2.147
70,48,2.147,2.176,2.206
71,34,2.206,2.236,2.265
72,19,2.265,2.296,2.327
73,27,2.327,2.358,2.389
74,13,2.389,2.420,2.452
75,12,2.452,2.484,2.516
76,7,2.516,2.549,2.582
77,4,2.582,2.615,2.648
78,8,2.648,2.682,2.716
79,2,2.716,2.750,2.785
80,5,2.785,2.820,2.855
81,6,2.855,2.890,2.926
82,6,2.926,2.962,2.998
83,3,2.998,3.035,3.071
84,4,3.071,3.109,3.146
85,2,3.146,3.184,3.222
86,4,3.222,3.261,3.299
87,8,3.299,3.338,3.377
88,5,3.377,3.417,3.457
89,0,3.457,3.497,3.538
90,0,3.538,3.579,3.620
91,2,3.620,3.661,3.703
92,0,3.703,3.745,3.788
93,2,3.788,3.831,3.873
94,2,3.873,3.917,3.961
95,6,3.961,4.005,4.049
96,2,4.049,4.094,4.139
97,1,4.139,4.184,4.230
98,0,4.230,4.276,4.322
99,2,4.322,4.369,4.416
100,2,4.416,4.463,4.511
101,2,4.511,4.559,4.607
102,0,4.607,4.656,4.705
103,0,4.705,4.755,4.804
104,0,4.804,4.854,4.905
105,0,4.905,4.956,5.007
106,0,5.007,5.058,5.110
107,0,5.110,5.162,5.215
108,0,5.215,5.268,5.321
109,0,5.321,5.375,5.428
110,0,5.428,5.483,5.537
111,0,5.537,5.593,5.648
112,0,5.648,5.704,5.760
113,0,5.760,5.816,5.873
114,0,5.873,5.931,5.988
115,0,5.988,6.046,6.104
116,0,6.104,6.163,6.222
117,0,6.222,6.282,6.342
118,0,6.342,6.402,6.462
119,0,6.462,6.524,6.585
120,2,6.585,6.647,6.709
121,0,6.709,6.772,6.834
122,0,6.834,6.898,6.961
123,0,6.961,7.026,7.090
124,0,7.090,7.155,7.220
125,0,7.220,7.286,7.352
126,0,7.352,7.419,7.485
127,0,7.485,7.553,7.620
128,0,7.620,7.689,7.757
129,0,7.757,7.826,7.895
130,0,7.895,7.965,8.035
131,0,8.035,8.106,8.176
132,0,8.176,8.248,8.319
133,0,8.319,8.392,8.464
134,0,8.464,8.537,8.611
135,0,8.611,8.685,8.759
136,0,8.759,8.834,8.909
137,0,8.909,8.984,9.060
138,0,9.060,9.137,9.213
139,0,9.213,9.291,9.368
140,0,9.368,9.447,9.525
141,0,9.525,9.604,9.683
142,0,9.683,9.764,9.844
143,0,9.844,9.925,10.01
144,0,10.01,10.09,10.17
145,0,10.17,10.25,10.33
146,0,10.33,10.42,10.50
147,0,10.50,10.59,10.67
148,0,10.67,10.76,10.84
149,0,10.84,10.93,11.01
150,0,11.01,11.10,11.19
151,0,11.19,11.28,11.37
152,0,11.37,11.45,11.54
153,0,11.54,11.63,11.72
154,0,11.72,11.81,11.91
155,0,11.91,12.00,12.09
156,0,12.09,12.18,12.27
157,0,12.27,12.37,12.46
158,0,12.46,12.56,12.65
159,0,12.65,12.75,12.84
160,0,12.84,12.94,13.04
161,0,13.04,13.13,13.23
162,0,13.23,13.33,13.43
163,0,13.43,13.53,13.63
164,0,13.63,13.73,13.83
165,0,13.83,13.93,14.03
166,0,14.03,14.13,14.24
167,0,14.24,14.34,14.44
168,0,14.44,14.55,14.65
169,0,14.65,14.76,14.86
170,0,14.86,14.97,15.08
171,0,15.08,15.18,15.29
172,0,15.29,15.40,15.51
173,0,15.51,15.62,15.73
174,0,15.73,15.84,15.95
175,0,15.95,16.06,16.17
176,0,16.17,16.28,16.40
177,0,16.40,16.51,16.62
178,0,16.62,16.74,16.85
179,0,16.85,16.97,17.09
180,0,17.09,17.20,17.32
181,0,17.32,17.44,17.55
182,0,17.55,17.67,17.79
183,0,17.79,17.91,18.03
184,0,18.03,18.15,18.27
185,0,18.27,18.40,18.52
