"Multisizer","2020-02-14  18:30"
"File name:","50K_P5_2020-02-14_14.#m4"
"Generation:","50K"
"Population:","P5"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2020-02-14  18:29"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","492"
"Counting threshold:","0.600"
"Counts above threshold:","492"
"Coincidence corrected:","492"

"From","0.113"
"To","22.45"
"Number ",490.0
"Mean:","1.490"
"Median:","1.676"
"D(0,0):",1.212
"Mean/Median ratio:","0.889"
"Mode:","0.117"
"95% Conf. Limits:","1.390"
"95% Conf. Limits:","1.590"
"S.D.:","1.132"
"Variance:","1.281"
"C.V.:","75.94"
"Skewness:","1.177"
"Kurtosis:","6.425"
"d10:","0.133"
"d50:","1.676"
"d90:","2.890"
"Specific Surf. Area:","38535"

"% <","Size "
10,0.133
25,0.241
50,1.676
75,2.118
90,2.890

"% >","Size "
10,2.890
25,2.118
50,1.676
75,0.241
90,0.133

"Size ","% <"
1,34.6
10,99.6
100,100
1000,100

"Size ","% >"
1,65.4
10,0.41
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,34,0.113,0.117,0.121
2,18,0.121,0.126,0.130
3,10,0.130,0.135,0.140
4,8,0.140,0.144,0.149
5,6,0.149,0.154,0.159
6,8,0.159,0.165,0.170
7,12,0.170,0.175,0.181
8,8,0.181,0.186,0.192
9,8,0.192,0.198,0.204
10,6,0.204,0.210,0.217
11,2,0.217,0.223,0.229
12,2,0.229,0.236,0.243
13,6,0.243,0.250,0.257
14,2,0.257,0.264,0.271
15,0,0.271,0.279,0.286
16,8,0.286,0.294,0.302
17,0,0.302,0.310,0.318
18,4,0.318,0.326,0.334
19,0,0.334,0.343,0.351
20,4,0.351,0.360,0.369
21,4,0.369,0.378,0.387
22,4,0.387,0.397,0.406
23,2,0.406,0.416,0.426
24,0,0.426,0.436,0.446
25,4,0.446,0.456,0.467
26,0,0.467,0.478,0.488
27,0,0.488,0.499,0.510
28,2,0.510,0.522,0.533
29,0,0.533,0.545,0.556
30,0,0.556,0.568,0.581
31,0,0.581,0.593,0.605
32,0,0.605,0.618,0.631
33,0,0.631,0.644,0.657
34,2,0.657,0.670,0.684
35,0,0.684,0.697,0.711
36,0,0.711,0.725,0.740
37,0,0.740,0.754,0.769
38,2,0.769,0.784,0.798
39,0,0.798,0.814,0.829
40,0,0.829,0.845,0.860
41,2,0.860,0.876,0.892
42,2,0.892,0.909,0.925
43,0,0.925,0.942,0.959
44,0,0.959,0.976,0.993
45,0,0.993,1.011,1.029
46,0,1.029,1.047,1.065
47,0,1.065,1.083,1.102
48,2,1.102,1.121,1.140
49,0,1.140,1.159,1.178
50,0,1.178,1.198,1.218
51,0,1.218,1.238,1.258
52,0,1.258,1.279,1.300
53,2,1.300,1.321,1.342
54,6,1.342,1.363,1.385
55,4,1.385,1.407,1.429
56,8,1.429,1.452,1.474
57,8,1.474,1.497,1.520
58,8,1.520,1.543,1.567
59,10,1.567,1.591,1.614
60,20,1.614,1.639,1.663
61,20,1.663,1.688,1.713
62,14,1.713,1.738,1.764
63,12,1.764,1.789,1.815
64,20,1.815,1.842,1.868
65,18,1.868,1.895,1.922
66,14,1.922,1.949,1.976
67,14,1.976,2.004,2.032
68,12,2.032,2.060,2.089
69,12,2.089,2.118,2.147
70,4,2.147,2.176,2.206
71,14,2.206,2.236,2.265
72,8,2.265,2.296,2.327
73,6,2.327,2.358,2.389
74,4,2.389,2.420,2.452
75,2,2.452,2.484,2.516
76,4,2.516,2.549,2.582
77,4,2.582,2.615,2.648
78,4,2.648,2.682,2.716
79,8,2.716,2.750,2.785
80,4,2.785,2.820,2.855
81,4,2.855,2.890,2.926
82,4,2.926,2.962,2.998
83,12,2.998,3.035,3.071
84,8,3.071,3.109,3.146
85,6,3.146,3.184,3.222
86,2,3.222,3.261,3.299
87,0,3.299,3.338,3.377
88,6,3.377,3.417,3.457
89,2,3.457,3.497,3.538
90,2,3.538,3.579,3.620
91,0,3.620,3.661,3.703
92,0,3.703,3.745,3.788
93,2,3.788,3.831,3.873
94,0,3.873,3.917,3.961
95,0,3.961,4.005,4.049
96,0,4.049,4.094,4.139
97,0,4.139,4.184,4.230
98,0,4.230,4.276,4.322
99,2,4.322,4.369,4.416
100,0,4.416,4.463,4.511
101,0,4.511,4.559,4.607
102,0,4.607,4.656,4.705
103,0,4.705,4.755,4.804
104,0,4.804,4.854,4.905
105,0,4.905,4.956,5.007
106,0,5.007,5.058,5.110
107,0,5.110,5.162,5.215
108,2,5.215,5.268,5.321
109,0,5.321,5.375,5.428
110,0,5.428,5.483,5.537
111,0,5.537,5.593,5.648
112,0,5.648,5.704,5.760
113,0,5.760,5.816,5.873
114,0,5.873,5.931,5.988
115,0,5.988,6.046,6.104
116,0,6.104,6.163,6.222
117,0,6.222,6.282,6.342
118,0,6.342,6.402,6.462
119,0,6.462,6.524,6.585
120,0,6.585,6.647,6.709
121,0,6.709,6.772,6.834
122,2,6.834,6.898,6.961
123,0,6.961,7.026,7.090
124,0,7.090,7.155,7.220
125,0,7.220,7.286,7.352
126,0,7.352,7.419,7.485
127,0,7.485,7.553,7.620
128,0,7.620,7.689,7.757
129,0,7.757,7.826,7.895
130,0,7.895,7.965,8.035
131,0,8.035,8.106,8.176
132,0,8.176,8.248,8.319
133,0,8.319,8.392,8.464
134,0,8.464,8.537,8.611
135,0,8.611,8.685,8.759
136,0,8.759,8.834,8.909
137,0,8.909,8.984,9.060
138,0,9.060,9.137,9.213
139,0,9.213,9.291,9.368
140,0,9.368,9.447,9.525
141,0,9.525,9.604,9.683
142,0,9.683,9.764,9.844
143,0,9.844,9.925,10.01
144,2,10.01,10.09,10.17
145,0,10.17,10.25,10.33
146,0,10.33,10.42,10.50
147,0,10.50,10.59,10.67
148,0,10.67,10.76,10.84
149,0,10.84,10.93,11.01
150,0,11.01,11.10,11.19
151,0,11.19,11.28,11.37
152,0,11.37,11.45,11.54
153,0,11.54,11.63,11.72
154,0,11.72,11.81,11.91
155,0,11.91,12.00,12.09
156,0,12.09,12.18,12.27
157,0,12.27,12.37,12.46
158,0,12.46,12.56,12.65
159,0,12.65,12.75,12.84
160,0,12.84,12.94,13.04
161,0,13.04,13.13,13.23
162,0,13.23,13.33,13.43
163,0,13.43,13.53,13.63
164,0,13.63,13.73,13.83
165,0,13.83,13.93,14.03
166,0,14.03,14.13,14.24
167,0,14.24,14.34,14.44
168,0,14.44,14.55,14.65
169,0,14.65,14.76,14.86
170,0,14.86,14.97,15.08
171,0,15.08,15.18,15.29
172,0,15.29,15.40,15.51
173,0,15.51,15.62,15.73
174,0,15.73,15.84,15.95
175,0,15.95,16.06,16.17
176,0,16.17,16.28,16.40
177,0,16.40,16.51,16.62
178,0,16.62,16.74,16.85
179,0,16.85,16.97,17.09
180,0,17.09,17.20,17.32
181,0,17.32,17.44,17.55
182,0,17.55,17.67,17.79
183,0,17.79,17.91,18.03
184,0,18.03,18.15,18.27
185,0,18.27,18.40,18.52
186,0,18.52,18.64,18.77
187,0,18.77,18.89,19.01
188,0,19.01,19.14,19.26
189,0,19.26,19.39,19.52
190,0,19.52,19.65,19.77
191,0,19.77,19.90,20.03
192,0,20.03,20.16,20.29
193,0,20.29,20.42,20.55
194,0,20.55,20.68,20.82
195,0,20.82,20.95,21.08
196,0,21.08,21.22,21.35
197,0,21.35,21.49,21.62
198,0,21.62,21.76,21.90
199,0,21.90,22.03,22.17
200,0,22.17,22.31,22.45
,,22.45,,

"Sequence","Time","Volume","Diameter"
"","seconds","fL","um"
1,0.000,1.942,1.548
2,0.030,0.115,0.604
3,0.060,3.043,1.798
4,0.090,3.084,1.806
5,0.120,0.368,0.890
6,0.150,4.139,1.992
7,0.180,0.220,0.749
8,0.210,4.611,2.065
9,0.243,1.799,1.509
10,0.277,0.126,0.622
11,0.310,0.903,1.199
12,0.343,5.644,2.209
13,0.377,0.672,1.087
14,0.410,2.073,1.582
15,0.443,0.770,1.137
16,0.477,3.535,1.890
17,0.510,1.465,1.409
18,0.543,2.247,1.625
19,0.577,0.318,0.847
20,0.610,3.033,1.796
21,0.810,0.124,0.618
22,0.850,1.677,1.474
23,0.890,0.154,0.665
24,0.930,0.395,0.911
25,0.970,1.583,1.446
26,1.010,11.58,2.807
27,1.060,0.178,0.698
28,1.110,0.293,0.824
29,1.160,3.402,1.866
30,1.210,1.673,1.473
31,1.310,3.973,1.965
32,1.410,0.193,0.716
33,1.460,1.832,1.518
34,1.510,0.126,0.622
35,1.560,2.801,1.749
36,1.610,0.120,0.613
37,1.650,3.348,1.856
38,1.690,1.988,1.560
